token,group,userid delay,password delay
ac14bccd232a57675f78887e3bb45e464f04e14e,reauth,0:00:42.552000,0:00:01.741000
e1cb7cbebd98a5d2a15e9c0dcfe4dc611f30f939,reauth,0:00:02.608000,0:00:01.969000
3a21940b513d4a8a2a8c82fbbfb612ffb21f299d,reauth,0:00:03.003000,0:00:05.750000
7631e0829941ba84d6487b95a0a54afdd8d19e35,control,0:00:02.171000,0:00:04.585000
c8e918c1a763ad1078e8c984cfc7de8f36365f24,reauth,0:00:09.493000,0:00:18.340000
25b81784012364e5b4673c9d159cff4bf5b58a8e,reauth,0:00:04.050000,0:00:03.388000
23ae910816b023c3e980bcb6c5313516c230847b,control,0:00:05.355000,0:00:13.206000
12ccbf2de4fd3dab62a50959d190991294c951cc,reauth,0:00:02.909000,0:00:02.191000
837d24b9384f5a83e790898ae1d81b5d2cf8b95b,reauth,0:00:02.436000,0:00:02.361000
979cd503d17b821d5396df34070042bd5bc095c4,control,0:00:18.263000,0:00:02.889000
a6ed661ba1234eeac391631513789a3291499f5b,reauth,0:00:04.865000,0:00:05.087000
08032d693148323a1c6d9d3981e0b042bcebbdb1,control,0:00:04.009000,0:00:05.958000
23c1d187a8cb6fc5d45df589725b232f81bb3caa,control,0:00:04.803000,0:00:05.152000
ef15c5e552c2129aa822eebc6ac13beb695c6634,reauth,0:00:33.281000,0:00:03.420000
b3346c9c1a568ece9133db8af8893eb99ef3b890,control,0:00:04.158000,0:00:02.183000
3ebf9e3bb0a1d16ecdd491cf3fc74a9226300052,control,0:00:06.355000,0:00:08.149000
32f49539bd6f873fa33429f39582f0e41680da1c,control,0:00:03.352000,0:00:02.937000
9a3e7fcd610040a824e44e4f99d440dc718ca7e0,control,0:00:03.329000,0:00:03.011000
d49b80be07e469d522f42f581c74f0a522ce47ef,control,0:01:22.307000,0:00:03.726000
4fe55e79dfe11071a45322b667bf88e7063fb26d,reauth,0:00:03.277000,0:00:01.915000
40b2a65d4f0b8812b6e97c488acecc7ba17c5f79,control,0:00:07.269000,0:00:07.869000
c9d3a6d21ea02db5ad18e8989fd381921d7a4a00,control,0:00:03.767000,0:00:02.674000
930fa8e409d83d94f2bb132bdeb3596970683b09,reauth,0:00:03.098000,0:00:02.638000
5709791608178f598a3d122c78a062ffaf40b8ff,reauth,0:00:07.160000,0:00:09.162000
fe57cc45312d2184343bccb0968a4f12b53d8925,control,0:00:04.272000,0:00:04.475000
cb737b77fb853e81a5ac517cafbe9e8987e0b637,reauth,0:00:03.441000,0:00:04.286000
82ad5c7d8caa517ada08b0ccfd0391a51acccc4c,reauth,0:00:07.418000,0:00:03.866000
7babedd77bb5249049327b7b81cd31c362918eca,reauth,0:00:05.057000,0:00:04.878000
54f3f83e0f996bd3615de5cdfea6fc777910f284,reauth,0:00:04.147000,0:00:02.766000
0e353d7573c8a8c9073023945aa1aec4eaed3228,control,0:00:03.186000,0:00:03.966000
